日期,预测收盘价
2026-09-21,1024.46
2026-09-22,1084.66
2026-09-23,1143.74
2026-09-24,1213.64
2026-09-25,1247.4
2026-09-28,1234.51
2026-09-29,1213.35
2026-09-30,1197.27
2026-10-01,1173.49
2026-10-02,1155.08
2026-10-05,1153.76
2026-10-06,1166.2
2026-10-07,1191.46
2026-10-08,1230.54
2026-10-09,1270.16
2026-10-12,1293.84
2026-10-13,1301.53
2026-10-14,1303.71
2026-10-15,1303.05
2026-10-16,1298.21
2026-10-19,1291.06
2026-10-20,1283.09
2026-10-21,1273.69
2026-10-22,1263.14
2026-10-23,1250.17
2026-10-26,1232.33
2026-10-27,1212.72
2026-10-28,1197.08
2026-10-29,1186.51
2026-10-30,1180.08
