日期,downstream_情绪,midstream_情绪,upstream_情绪,downstream_新闻数,midstream_新闻数,upstream_新闻数
2026-08-26,2.6666666666666665,,,6.0,,
2026-08-27,3.272727272727273,,,11.0,,
2026-08-28,4.5,,,2.0,,
2026-08-29,6.0,,,1.0,,
2026-09-01,1.8,,,5.0,,
2026-09-02,2.8,,,5.0,,
2026-09-04,0.3333333333333333,,,3.0,,
2026-09-05,3.0,,,2.0,,
2026-09-06,2.0,,,1.0,,
2026-09-07,4.25,,,4.0,,
2026-09-08,4.6,,0.0,5.0,,1.0
2026-09-09,1.5,3.0,,2.0,3.0,
2026-09-10,3.0,2.0,0.3333333333333333,1.0,2.0,3.0
2026-09-11,1.75,5.0,0.0,4.0,1.0,2.0
2026-09-12,2.0,0.0,-7.0,1.0,1.0,1.0
2026-09-13,,,-0.5,,,2.0
2026-09-14,2.0,1.5,-0.25,1.0,6.0,6.0
2026-09-15,1.5,1.8,1.736842105263158,2.0,15.0,19.0
2026-09-16,1.5833333333333333,1.425531914893617,1.625,24.0,47.0,16.0
2026-09-17,1.2741935483870968,1.853658536585366,1.2407407407407407,31.0,41.0,27.0
2026-09-18,2.1847826086956523,1.9870129870129871,2.4279279279279278,46.0,77.0,111.0
2026-09-19,0.8461538461538461,0.8363636363636363,1.5446428571428572,39.0,55.0,56.0
2026-09-20,1.1732673267326732,1.6704545454545454,1.6767676767676767,202.0,176.0,198.0
2026-09-21,1.0,,0.0,1.0,,1.0
