排名,环节,代码,名称,情绪均分,新闻数量,20日动量(%),情绪标准分,动量标准分,综合分
1,上游·算力硬件,300502,新易盛,2.15,20,0.68,0.8973267575057948,1.4599305507588118,1.122
2,上游·算力硬件,603986,兆易创新,3.05,20,-5.1,2.1957095256009964,-0.5105069468210905,1.113
3,下游·行业应用,300496,中科创达,2.4,20,-2.65,1.2579886375322398,0.3247130997309442,0.885
4,中游·模型平台,601360,三六零,1.6,20,0.11,0.10387062144761623,1.26561405013242,0.569
5,上游·算力硬件,300308,中际旭创,1.5,20,-1.76,-0.04039413056296187,0.6281195656212751,0.227
6,中游·模型平台,002230,科大讯飞,1.35,20,-1.81,-0.25679125857882873,0.6110742585487846,0.09
7,上游·算力硬件,688981,中芯国际,1.4,20,-2.24,-0.18465888257354,0.4644846177253662,0.075
8,上游·算力硬件,000977,浪潮信息,1.95,20,-5.85,0.608797253484639,-0.7661865529084481,0.059
9,下游·行业应用,300253,卫宁健康,1.915,20,-5.72,0.5583045902809368,-0.7218687545199728,0.046
10,中游·模型平台,688327,云从科技,1.158,19,-1.67,-0.5337795824391387,0.6588011183517581,-0.057
11,上游·算力硬件,002371,北方华创,1.4,20,-3.91,-0.18465888257354,-0.10482863849581665,-0.153
12,下游·行业应用,002415,海康威视,1.45,20,-4.24,-0.11252650656825093,-0.217327665174254,-0.154
13,下游·行业应用,002920,德赛西威,0.975,20,-1.96,-0.7977840786184963,0.5599383373313132,-0.255
14,中游·模型平台,688111,金山办公,0.8,20,-7.02,-1.0502473946370077,-1.1650467384047258,-1.096
15,下游·行业应用,300024,机器人,1.35,20,-11.16,-0.25679125857882873,-2.57639816400694,-1.185
16,中游·模型平台,300229,拓尔思,0.0,7,-3.34,-2.2043654107216315,0.08948786213057522,-1.287
