日期,来源,标题,摘要,链接,关键词
2026-09-20 07:18:38,新浪财经·中国新闻网,以东博会为桥 国产AI技术稳步走向东盟民生场景,作为中国面向东盟开放合作的前沿窗口，广西正加快推进“北上广研发+广西集成+东盟应用”的人工智能发展路径。企业供图广西实践：在真实场景中打磨AI服务能力在行业应用展示区，人工智能+教育的应用场景吸引了不少观众驻足...,https://k.sina.com.cn/article_1784473157_6a5ce64502003uhrg.html?from=pcsearch,科大讯飞
2026-09-20 06:13:18,新浪财经·中关村在线,科大讯飞阅读器Cube2到手仅1395元,科大讯飞阅读器Cube2是一款来自官方旗舰店的优质电纸书。它配备7英寸黑白墨水屏，这护眼的水墨屏设计，能让你在阅读小说等各类书籍时有效减轻眼睛负担...,https://finance.sina.com.cn/roll/2026-09-20/doc-inisnhca6671651.shtml?from=pcsearch,科大讯飞
2026-09-20 06:13:12,新浪财经·中关村在线,科大讯飞起点电纸书直降千元，速抢！,为大家介绍科大讯飞起点电子阅读器，它拥有7英寸墨水屏，是阅读小说、漫画的好帮手。这一电子阅览器具备护眼彩屏，高清显示且无痕阅读，还很便携...,https://finance.sina.com.cn/roll/2026-09-20/doc-inisnhay9274054.shtml?from=pcsearch,科大讯飞
2026-09-20 03:06:59,新浪财经·新华社,东博会借助AI塑造“新气质”,新华社南宁9月20日电（记者张爱林、黄孝邦）走进第23届中国—东盟博览会展馆，最直观的感受是：今年的AI展区，不是浅尝辄止的“尝鲜”，而是“接地气”的生意场...,https://t.cj.sina.com.cn/articles/view/1699432410/654b47da02001w5eq?from=pcsearch,科大讯飞
2026-09-19 12:11:48,新浪财经·中国金融信息网,科大讯飞亮相第23届东博会：以广西实践拓展中国—东盟AI合作场景,转自：新华财经17日，第23届中国—东盟博览会暨中国—东盟商务与投资峰会在广西南宁开幕。本届东博会以“共享3.0机遇，共创美好生活”为主题，重点呈现“人工智能+”在消费、企业、政府和国际交流等领域的创新应用...,https://finance.sina.com.cn/jjxw/2026-09-19/doc-iniskimy7480580.shtml?from=pcsearch,科大讯飞
2026-09-19 06:34:00,新浪财经·商丘新闻网,科大讯飞AI学习机有隐藏收费吗？官方政策与核心权益全说明,在选购 AI 学习机时，不少家长都有过这样的顾虑：看似不菲的购机价格只是 “入门费”，后续核心功能要开通会员、优质课程要单独付费、批改答疑还要按次收费，算下来反而成了消费 “无底洞”...,https://finance.sina.com.cn/tjhz/2026-09-19/doc-inisiwwe7644965.shtml?from=pcsearch,科大讯飞
2026-09-18 07:22:00,新浪财经·21世纪经济报道,科大讯飞落子佛山！多家企业摘牌超350亩靓地,早在2025年3月，南海区与科大讯飞共建的科大讯飞佛山人工智能产业基地揭牌，基地围绕智能制造、数据标注、具身智能等方向持续开展项目对接与企业招引...,https://finance.sina.com.cn/roll/2026-09-18/doc-inisftxc0215275.shtml?from=pcsearch,科大讯飞
2026-09-17 07:48:14,新浪财经·雷达财经,科大讯飞起诉科达讯飞不正当竞争,天眼查知识产权信息显示，该公司名下商标包括“HUEWREI”“HUEWREI NBOOK”等；开庭公告显示，该公司此前还曾涉华为侵害商标权纠纷...,https://cj.sina.com.cn/articles/view/7317133861/1b4229a2502001hxdc?from=pcsearch,科大讯飞
2026-09-16 10:49:48,新浪财经·IT之家,科大讯飞上线全国产化语音大模型，支持99种语言202种方言,【基于全国产化算力训练，讯飞星火语音基座大模型Spark-Audio-1.0-Preview 上线】科大讯飞今日上线Spark-Audio-1....,https://t.cj.sina.com.cn/articles/view/1826017320/6cd6d02804001wxry?from=pcsearch,科大讯飞
2026-09-16 10:30:20,新浪财经·资讯动态,2026中国算力大会：科大讯飞分享AI规模化应用新实践,麦肯锡《2026全球AI应用现状调研》指出，AI竞争已经从技术能力比拼转向规模化应用竞争，行业商业化加速兑现，AGI时代渐行渐近...,https://k.sina.com.cn/article_5953189932_162d6782c06704ye0s.html?from=pcsearch,科大讯飞
2026-09-15 12:03:58,新浪财经·市场资讯,讯飞一周资讯：与青海省教育厅战略签约，AI眼镜登《财富》最佳设计榜，多款AI成果亮相国内外展会,根据协议，双方将开展AI+教育合作，在“教、学、考、评、管”一体化推进人工智能+教育应用场景落地、创新发展青海数智教育、坚守安全发展底线等方面推进行动，为西部地区教育数字化输出可复制的实践经验...,https://finance.sina.com.cn/roll/2026-09-15/doc-inirxhzq8501216.shtml?from=pcsearch,科大讯飞
2026-09-15 09:18:24,新浪财经·新浪新消费,科大讯飞上半年净亏损逾6亿，钱花在哪了？,《热点Views》栏目出品一则网传消息，将科大讯飞推上了舆论的风口浪尖。对于韩煜尘被解职的原因，外界多猜测系因私德问题，媒体报道称或与此前科大讯飞内部举报有关...,https://cj.sina.com.cn/articles/view/7475489322/1bd92ea2a00101p9qc?from=pcsearch,科大讯飞
2026-09-14 08:29:59,新浪财经·热点聚焦,科大讯飞参加2026中国联通合作伙伴大会，携手共建AI产业新生态,（来源：科大讯飞集团）9月9日至10日，2026中国联通合作伙伴大会在上海世博中心举行。本届大会以“向智同行 连接算力新生态”为主题，围绕连接、算力、服务、安全四大领域，集中展示中国联通在网络能力、智能算力、数智服务及安全保障等方面的创新成果，并与产业伙伴共同探索人工智能时代的合作机遇...,https://k.sina.com.cn/article_5952915705_162d248f906703o77g.html?from=pcsearch,科大讯飞
2026-09-14 05:46:44,新浪财经·雷达财经,科大讯飞在佛山成立新科技公司 注册资本1000万,雷达财经讯，天眼查App显示，近日，广东佛讯科技有限公司成立，法定代表人为周佳峰，注册资本1000万人民币，经营范围包括软件开发、人工智能应用软件开发、人工智能基础软件开发等...,https://cj.sina.com.cn/articles/view/7317133861/1b4229a2502001hv0k?from=pcsearch,科大讯飞
2026-09-14 02:08:00,新浪财经·界面新闻,AI应用商业化突围，软件ETF招商(159899)拉涨！年内份额已翻倍，金山办公、深信服领涨,截至收盘，软件ETF招商(159899)标的指数涨0.81%，成分股深信服、三六零、金山办公、科大讯飞、中国软件、宝信软件涨幅居前...,https://finance.sina.com.cn/jjxw/2026-09-14/doc-iniruara9678706.shtml?from=pcsearch,科大讯飞
2026-09-13 19:20:55,新浪财经·证券之星官方微博,科大讯飞获得发明专利授权：“一种屏幕触摸的识别方法、系统、设备及产品”,证券之星消息，根据天眼查APP数据显示科大讯飞（002230）新获得一项发明专利授权，专利名为“一种屏幕触摸的识别方法、系统、设备及产品”，专利申请号为CN202511801127....,https://cj.sina.com.cn/articles/view/1850649324/6e4eaaec02002jb1q?from=pcsearch,科大讯飞
2026-09-12 01:26:05,新浪财经·贝果财经,专访｜科大讯飞雷琴辉：大模型上车，真正的产业拐点在于主控智能体,中经记者 张硕 北京报道大模型正以前所未有的速度涌向车载座舱。在2026聚合智能产业发展大会期间，科大讯飞智能汽车CTO、副总经理雷琴辉接受了《中国经营报》等媒体记者的专访...,https://t.cj.sina.com.cn/articles/view/6248544856/174713a5802003rung?from=pcsearch,科大讯飞
2026-09-11 01:00:06,新浪财经·金融界网站,【资金异动】指南针、科大讯飞飘红，软件ETF招商(159899)份额4连增的背后，这三点不容小觑！,9月10日，软件板块震荡回调，但资金逆势涌入。截至收盘，软件ETF招商(159899)标的指数跌0.75%，成分股中科星图、指南针、科大讯飞逆市飘红...,https://cj.sina.com.cn/articles/view/1704103183/65928d0f0200bc2yo?from=pcsearch,科大讯飞
2026-09-09 03:54:51,新浪财经·新京报,优地机器人首日上市开盘涨超140% 背后投资方包括阿里、华住、科大讯飞,新京报贝壳财经讯（记者程靓）9月9日，优地机器人正式在香港联合交易所上市，成为港股首家聚焦全场景商用服务机器人核心业务的上市公司...,https://news.sina.com.cn/o/2026-09-09/doc-inirexha8770485.shtml?from=pcsearch,科大讯飞
2026-09-08 11:35:22,新浪财经·三易生活,科大讯飞星火X2.5发布，基于全国产平台训练,近日，科大讯飞正式发布采用MoE（混合专家）架构的星火X2.5多语言文本生成模型，其参数规模为293B-A30B，并基于全国产平台完成训练，可支持256K上下文...,https://t.cj.sina.com.cn/articles/view/5828676220/15b6a8a7c02001jnle?from=pcsearch,科大讯飞
