日期,来源,标题,摘要,链接,关键词
2026-09-18 07:00:37,新浪财经·证券之星官方微博,德赛西威：若未来存储芯片等上游原料的供需关系改善，预计将有益于智能驾驶产品的毛利率提升,证券之星消息，德赛西威(002920)09月18日在投资者关系平台上答复投资者关心的问题。投资者：董秘好， 上半年智能驾驶收入同比下降5.53%，毛利率仅14.49%（同比大降5.25个百分点），而智能座舱毛利率18.45%也在走低...,https://cj.sina.com.cn/articles/view/1850649324/6e4eaaec02002jny8?from=pcsearch,德赛西威
2026-09-16 01:34:26,新浪财经·市场资讯,德赛西威：定增半年后递表港股 购买逾27亿元理财累计分红超18亿元反募资补流,2026年4月12日，主营智能座舱、智能驾驶、网联服务三大汽车智能化业务的德赛西威递表港交所。其2024年以来营收与净利润保持增长，但毛利率下滑，近三年又一期境外收入占比不足11%，2025年末无人配送车品牌“川行致远”尚未产生收入，2023-2025年研发投入占比低于同行均值。此外，其应收款占比超三成且高于同行均值，存货攀升至逾60亿元，2025年10月定增募资超40亿元，截至2026年7月末2,https://finance.sina.com.cn/stock/marketresearch/2026-09-16/doc-iniryqve3368762.shtml?from=pcsearch,德赛西威
2026-09-13 04:07:00,新浪财经·大学生小青年,比亚迪吉利自研芯片，为何供应商订单不降反升？,2026年上半年，国内乘用车智驾域控芯片出货359万颗，英伟达、华为、地平线、高通这四家独立供应商就占了约77%的市场；特斯拉等车企自研芯片加在一起，份额只有约13%...,https://k.sina.com.cn/article_7879996580_1d5af34a402001v6fi.html?from=pcsearch,德赛西威
2026-09-11 10:46:00,新浪财经·新智驾,突破舱驾融合瓶颈，德赛西威给出「双优」新解法,更精简的架构，更迅速的响应速度，是智能汽车进化的方向，而舱驾一体，则是智能汽车进化的一个节点。然而，当舱驾一体真正进入量产阶段，座舱和智驾被装进同一颗芯片，有限的算力却越来越向智驾倾斜...,https://t.cj.sina.com.cn/articles/view/6375616787/17c04311302001jun4?from=pcsearch,德赛西威
2026-09-11 05:14:00,新浪财经·证券时报e公司,德赛西威携手理想、恩智浦首发UWB融合解决方案,人民财讯9月11日电，德赛西威发布消息，近日，德赛西威与理想汽车、恩智浦联合共创的UWB近场感知融合方案，在理想新一代具身智能旗舰SUV L9 Livis车型上量产落地...,https://finance.sina.com.cn/jjxw/2026-09-11/doc-inirmruc2429953.shtml?from=pcsearch,德赛西威
2026-09-10 09:00:18,新浪财经·证券之星官方微博,德赛西威：公司重视投资者回报，并自2017年上市以来连续九年实施年度权益分派,证券之星消息，德赛西威(002920)09月10日在投资者关系平台上答复投资者关心的问题。2024/9/24市值管理新政后，公司股价却创近2年半新低、年内跌约27%、跑输上证，但Q2净利 22.31%、订单超220亿、海外高增...,https://cj.sina.com.cn/articles/view/1850649324/6e4eaaec02002j2om?from=pcsearch,德赛西威
2026-09-08 15:16:47,新浪财经·羊城派,惠州20家A股公司半年报收官：利润增速高于营收，头部公司贡献突出,近日，随着TCL科技发布2026年半年度报告，惠州20家A股上市公司全部完成半年报披露。这份“期中成绩单”显示，惠州上市公司上半年累计实现营业收入1914.35亿元，同比增长18.75%；累计实现归母净利润115.89亿元，同比增长56%...,https://t.cj.sina.com.cn/articles/view/5787187353/158f17899020028g4a?from=pcsearch,德赛西威
2026-09-08 11:30:14,新浪财经·证券之星官方微博,德赛西威：西班牙智能工厂三条产线已按计划完成搭建,证券之星消息，德赛西威(002920)09月08日在投资者关系平台上答复投资者关心的问题。投资者：董秘您好，公司上半年境外收入16.17亿、同比大增55.71%，毛利率31.34%显著高于境内（17.58%），并已获得丰田、本田、铃木等海外订单...,https://cj.sina.com.cn/articles/view/1850649324/6e4eaaec02002ix2k?from=pcsearch,德赛西威
2026-09-08 11:27:32,新浪财经·市场投研资讯,德赛西威回应,（来源：财闻）有投资者向德赛西威（002920.SZ）提问，特斯拉（TSLA.US）Robotaxi已经商用落地，海外L4自动驾驶进程大幅加快...,https://finance.sina.com.cn/jjxw/2026-09-08/doc-inircmeu9377718.shtml?from=pcsearch,德赛西威
2026-09-08 01:32:00,新浪财经·上海证券报,德赛西威：惠州创投公司拟向一致行动人协议转让占总6%股份,《股份转让协议》及《一致行动人协议》均于2026年9月7日签署，惠州产投公司为惠州创投公司新增的一致行动人，本次转让属于一致行动人内部持股调整...,https://finance.sina.com.cn/roll/2026-09-08/doc-inirapze9651574.shtml?from=pcsearch,德赛西威
2026-09-08 01:26:17,新浪财经·财中社,德赛西威：惠州创投拟向一致行动人协议转让6%股份  总价32.19亿元,9月7日，德赛西威（002920）发布公告，惠州市创新投资有限公司拟通过非公开协议转让方式，向惠州市产业投资集团有限公司转让其持有的公司无限售流通股股份合计3581万股，占公司总股本的6%...,https://cj.sina.com.cn/articles/view/7935425109/1d8fcfa5502001l0ns?from=pcsearch,德赛西威
2026-09-07 18:00:59,新浪财经·上海证券报,惠州市德赛西威汽车电子股份有限公司关于股东提前终止股份减持计划的公告,证券代码：002920 证券简称：德赛西威 公告编号：2026-044惠州市德赛西威汽车电子股份有限公司关于股东提前终止股份减持计划的公告持股股东惠州市创新投资有限公司保证向公司提供的信息披露内容真实、准...,https://finance.sina.com.cn/roll/2026-09-08/doc-iniqzsvn6246336.shtml?from=pcsearch,德赛西威
2026-09-07 14:00:58,新浪财经·同壁财经,德赛西威：股东惠创投提前终止减持计划，未实施减持，原计划减持不超3%,同壁财经讯，德赛西威发布最新公告称，公司持股5%以上股东惠州市创新投资有限公司（以下简称“惠创投”）决定提前终止本次股份减持计划，在减持计划期间内未减持公司股份...,https://cj.sina.com.cn/articles/view/7651844612/1c815e2040200201dy?from=pcsearch,德赛西威
2026-09-07 13:40:13,新浪财经·证券之星官方微博,德赛西威最新公告：股东惠州创投拟向一致行动人协议转让6%股份,本次交易系一致行动人内部持股调整，不涉及二级市场减持，不会导致公司控制权变化。以上内容为证券之星据公开信息整理，仅供参考不构成投资建议...,https://cj.sina.com.cn/articles/view/1850649324/6e4eaaec02002iug0?from=pcsearch,德赛西威
2026-09-07 13:32:46,新浪财经·滚动播报,德赛西威：股东拟内部协议转让6%股份 增加一致行动人,双方同属惠州市国资委控制，已签订一致行动人协议，本次交易为一致行动人内部持股调整，合计持股比例不变，不涉及二级市场减持，不会导致公司控制权变化...,https://finance.sina.com.cn/7x24/2026-09-07/doc-iniqzhfs6375835.shtml?from=pcsearch,德赛西威
2026-09-07 13:32:20,新浪财经·滚动播报,德赛西威：持股5%以上股东提前终止减持计划,德赛西威公告称，公司持股5%以上股东惠州市创新投资有限公司此前计划自2026年5月23日起15个交易日后的3个月内，以集中竞价或大宗交易方式减持公司股份不超过1788万股，占公司当时总股本的3%...,https://finance.sina.com.cn/7x24/2026-09-07/doc-iniqzhfs6375393.shtml?from=pcsearch,德赛西威
2026-09-07 09:18:15,新浪财经·投资有道杂志,奥迪威中报净利跌超40%，冲击“北+H”第一股却遭大客户清仓减持,奥迪威已经向港交所二次递表，再度向“北+H”第一股发起冲击。不过，公司今年上半年归母净利润大跌42.44%，主要客户德赛西威已将所持股份清仓式减持...,https://finance.sina.com.cn/wm/2026-09-07/doc-iniqyzxw5441592.shtml?from=pcsearch,德赛西威
2026-09-06 10:02:56,新浪财经·投影时代,联得装备：±1μm键合精度、UTG批量出货、钙钛矿进入客户验证,9月3日至4日，联得装备（300545）通过券商策略会、线下调研和电话会议等三场投资者关系活动，与华源证券、方正证券、中信建投证券、平安资管等机构面对面交流...,https://finance.sina.com.cn/tech/roll/2026-09-07/doc-iniqwssy6437038.shtml?from=pcsearch,德赛西威
2026-09-01 23:56:00,新浪财经·证券时报网,绩优超跌智能驾驶概念股出炉,转自：证券时报人民财讯9月2日电，9月1日，A股智能驾驶概念股明显异动，其中浙江世宝、埃泰克、大明电子等涨停，伯特利、科隆新材等大幅上涨...,https://finance.sina.com.cn/jjxw/2026-09-02/doc-iniqkvca4501556.shtml?from=pcsearch,德赛西威
2026-08-31 06:50:00,新浪财经·上海证券报,惠州市德赛西威汽车电子股份有限公司2026年第一次临时股东会决议公告,"5、会议出席情况出席本次股东会的股东及股东代理人共630人，有效表决权股份总数为339,920,068股，占公司有表决权股份总数的56.9562%...",https://finance.sina.com.cn/roll/2026-08-31/doc-iniqfzhf6981219.shtml?from=pcsearch,德赛西威
