日期,来源,标题,摘要,链接,关键词
2026-09-20 11:27:37,新浪财经·证券时报e公司,融资客积极关注5股（附名单）,融资资金呈现净偿还态势，金额合计76.39亿元。融资客加仓光模块、电子布龙头个股方面，近一周，12股融资净买入额在3亿元以上...,https://cj.sina.com.cn/articles/view/5597884738/14da8f142020028xm0?from=pcsearch,中际旭创
2026-09-20 10:57:18,新浪财经·新浪基金,算力共识再强化！英伟达B300租赁涨价，资金关注高“光”指数！,9月18日创业板人工智能延续涨势，成份股大面积上扬，星宸科技领涨超11%，多只个股跟涨，相关标的指数涨3%。算力涨价验证AI需求，英伟达B300GPU涨幅约21%，AMD相关产品价格最高涨41%。创业板人工智能ETF华宝标的指数前三大成份股合计占比超35%，该产品为R4中高风险，投资者需理性参与。(AI生成),https://finance.sina.com.cn/money/fund/etf/2026-09-20/doc-inisnnkv2557114.shtml?from=pcsearch,中际旭创
2026-09-20 08:21:56,新浪财经·21世纪经济报道,中际旭创近5日震荡持平大盘，9月18日主力资金净流入，当前估值处历史高位,来源：经济观察网经济观察网 中际旭创（300308）近5日处于震荡行情中，表现基本持平大盘，弱于行业平均水平。融资融券差额占比3.24%...,https://finance.sina.com.cn/roll/2026-09-20/doc-inisnhax2560301.shtml?from=pcsearch,中际旭创
2026-09-19 10:25:18,新浪财经·滚动消息,"坐拥中芯、长江存储、中际旭创、海力士等高端客户，高端包材赛道""隐形冠军""跑出加速度","（来源：包装地带AI）近日，苏州思展实业有限公司（以下简称""思展实业""）在高端防护包装材料领域再传捷报。公司主导产品——航天级CMOS-TDI传感器芯片用高纯洁净防护材料，2025年国内市场占有率达18.44%，位居行业前列，标志着国产高端防护材料在关键细分赛道实现重大突破...",https://k.sina.com.cn/article_5953740931_162dee08306703zfww.html?from=pcsearch,中际旭创
2026-09-18 08:57:45,新浪财经·水皮More,跳大神 | 谈股论金,加息落地，股市大涨，美股率先大涨，日本股市紧随其后。消息公布后，日经指数非但没有下行，反而瞬间拉升 1%，盘中最高涨幅2%左右，虽后续有所回落，收盘仍录得1.38% 的涨幅...,https://finance.sina.com.cn/roll/2026-09-18/doc-inisfyez0206962.shtml?from=pcsearch,中际旭创
2026-09-18 07:59:50,新浪财经·21世纪经济报道,今日A股主力净流入前20名，华天科技单日吸金超33亿元,9月18日A股三大股指集体走强，上证指数收涨0.94%报3911.87点，深证成指收涨1.72%报13640.87点，创业板指大涨2.25%报3372.68点。当日收盘全市场主力资金净流入超1亿元的个股共262只，较上一交易日增139只，净流出超1亿元的个股共93只，较上一交易日减44只，资金流入面明显扩大。主力净流入前三位个股为华天科技、长鑫科技、中际旭创，当日净流入分别达33.40亿元、13.,https://finance.sina.com.cn/stock/wbstock/2026-09-18/doc-inisftxe8480384.shtml?from=pcsearch,中际旭创
2026-09-18 07:56:00,新浪财经·21世纪经济报道,今日A股主力净流入前20名，华天科技吸金超33亿元,9月18日，A股三大股指集体走强，上证指数收涨0.94%报3911.87点，深证成指收涨1.72%报13640.87点，创业板指大涨2.25%报3372.68点...,https://cj.sina.com.cn/articles/view/1651428902/v626ece2602001jyx4?from=pcsearch,中际旭创
2026-09-18 07:04:00,新浪财经·界面,新易盛、中际旭创联袂大涨,9月18日，光模块板块延续强势。截至14时52分，创业板人工智能ETF招商(159243)标的指数涨2.95%，怒提四连阳。前几大权重股方面，新易盛涨5.25%，中际旭创涨3.41%，江波龙涨3.55%，天孚通信涨2.43%...,https://cj.sina.com.cn/articles/view/6192937794/17120bb4202002uhtk?from=pcsearch,中际旭创
2026-09-18 05:35:00,新浪财经·运营商财经网,中际旭创常务副总王晓东去年薪酬100.7万元 但减持套现超3.6亿元,﻿运营商财经网 IPO频道 赵鑫雨/文日前，中际旭创以534亿港元的基础募资额，成为2026年港股规模最大的IPO。但与此同时，公司实控人王伟修与王晓东再次进行了减持，公告中称因公司境外发行股份（H股）上市、股权激励股份行权以及二级市场减持等原因，合计持股比例变动超过1%整数倍...,https://finance.sina.com.cn/tech/roll/2026-09-18/doc-inisfpqz3367822.shtml?from=pcsearch,中际旭创
2026-09-18 01:44:20,新浪财经·第一财经,A股高开，AI硬件侧明显升温,2026.09.18本文字数：428，阅读时长大约1分钟作者 | 一财阿驴9月18日，A股四大指数集体高开，沪指涨0.42%，深证成指涨1.15%，创业板指涨1.61%，科创综指涨1.52%...,https://finance.sina.com.cn/wm/2026-09-18/doc-inisfazi3468965.shtml?from=pcsearch,中际旭创
2026-09-17 22:55:45,新浪财经·市场资讯,宁德时代遭抵制的B面：最赚钱的5家车企A股，利润加起来不如宁王一家,来源 基本面力场。让宁王股价“摧眉折腰”的，既有来自车企大佬的口头警告，更有实际行动，最被关注的就是理想汽车宣布斥资26.5亿元增资欣旺达（300207.SZ）动力，被市场解读为车企扶持替代供应商的明确动作...,https://finance.sina.com.cn/stock/relnews/cn/2026-09-18/doc-inisewtm3421711.shtml?from=pcsearch,中际旭创
