日期,来源,标题,摘要,链接,关键词
2026-09-20 12:30:36,新浪财经·证券之星官方微博,中科创达：公司拥有相关的核心技术,证券之星消息，中科创达(300496)09月20日在投资者关系平台上答复投资者关心的问题。投资者：董秘您好，近期华为阔屏直板手机受到市场关注...,https://cj.sina.com.cn/articles/view/1850649324/6e4eaaec02002jspk?from=pcsearch,中科创达
2026-09-20 11:30:19,新浪财经·格隆汇,"中科创达(300496.SZ)：公司拥有智能汽车全栈视觉技术和产品方案,可以实现全场景视觉","格隆汇9月20日丨中科创达(300496.SZ)在投资者互动平台表示，公司拥有智能汽车全栈视觉技术和产品方案,可以实现全场景视觉...",https://finance.sina.com.cn/stock/bxjj/2026-09-20/doc-inisnsst2442027.shtml?from=pcsearch,中科创达
2026-09-15 07:04:59,新浪财经·界面新闻,【尾盘异动】加速了！软件ETF招商(159899)迎主力逆势抢筹1100万份，合合信息、达梦数据逆市飘红,9月15日，软件板块震荡回调，但资金尾盘放量涌入。截至发文，软件ETF招商(159899)标的指数跌0.66%，成分股合合信息、达梦数据、广联达、中科创达、润和软件、深信服逆市飘红...,https://finance.sina.com.cn/jjxw/2026-09-15/doc-inirwwmu8627375.shtml?from=pcsearch,中科创达
2026-09-13 10:19:11,新浪财经·实时速报,【中科创达】参加“维科杯·OFweek 2026(第十一届) AIoT行业年度评选”,（来源：OFweek物联网）中科创达（股票代码：300496）是全球领先的AI操作系统产品与技术提供商...,https://k.sina.com.cn/article_5952915720_162d2490806704tuem.html?from=pcsearch,中科创达
2026-09-11 09:37:38,新浪财经·新浪证券,半年狂揽50亿、游戏厂商“半个圈子”集体入场：VAST的AI 3D帝国版图,2026年9月1日，AI 3D独角兽公司VAST（三启万物）宣布完成B轮和B+轮融资，合计约30亿元人民币，由经纬创投领投...,https://finance.sina.com.cn/stock/aigcy/2026-09-11/doc-inirnaka5702122.shtml?from=pcsearch,中科创达
2026-09-10 06:18:00,新浪财经·观点地产网,中科创达：人形机器人无做本体计划 将与本体公司合作,观点网讯：9月10日，中科创达在互动平台表示，目前在人形机器人方面公司没有计划做本体，这方面会选择与本体公司合作。中科创达介绍，公司的全系列移动机器人产品矩阵，包括潜伏机器人、叉取机器人、复合及具身机器人等核心产品...,https://finance.sina.com.cn/stock/estate/integration/2026-09-10/doc-inirinuu5323265.shtml?from=pcsearch,中科创达
2026-09-10 06:07:48,新浪财经·格隆汇,中科创达(300496.SZ)：机器人产品已在多家世界500强企业的产线物流或仓储物流落地机器人自动化项目,9月10日，中科创达（300496.SZ）于互动平台披露，已搭建含潜伏、叉取、复合及具身机器人在内的全系列移动机器人产品矩阵，相关产品已落地多家世界500强企业的产线、仓储物流自动化项目。2026世界人工智能大会上，其旗下晓悟智能联合北京人形机器人创新中心，展示依托两大自研平台打造的异构机器人集群协同作业系统，实现具身智能从单机演示到产线集群规模化应用的突破。在第二届世界人形机器人运动会上，该合作,https://finance.sina.com.cn/stock/bxjj/2026-09-10/doc-inirinuu5317527.shtml?from=pcsearch,中科创达
2026-09-10 06:02:53,新浪财经·新浪港股,花旗：中国IT服务及软件业AI变现开始兑现 首选中国软件国际及金蝶国际,花旗发布研报称，经审视所评级的11家中国IT服务及软件公司今年第二季及上半年业绩，当中超过一半表现好过或符合预期，行业呈现明显分化，AI驱动的公司如中国软件国际（00354）、金蝶国际（00268）、中科...,https://finance.sina.com.cn/stock/hkstock/hkgg/2026-09-10/doc-inirinus8538479.shtml?from=pcsearch,中科创达
2026-09-10 05:06:59,新浪财经·滚动播报,中科创达：目前在人形机器人方面公司没有计划做本体 会选择与本体公司合作,中科创达(300496)9月10日在互动平台表示，公司的全系列移动机器人产品矩阵，包括潜伏机器人、叉取机器人、复合及具身机器人等核心产品...,https://finance.sina.com.cn/7x24/2026-09-10/doc-inirihnw5401843.shtml?from=pcsearch,中科创达
2026-09-10 05:06:00,新浪财经·证券时报e公司,中科创达：目前在人形机器人方面公司没有计划做本体 会选择与本体公司合作,人民财讯9月10日电，中科创达(300496)9月10日在互动平台表示，公司的全系列移动机器人产品矩阵，包括潜伏机器人、叉取机器人、复合及具身机器人等核心产品...,https://finance.sina.com.cn/jjxw/2026-09-10/doc-inirihny7847353.shtml?from=pcsearch,中科创达
2026-09-10 03:52:25,新浪财经·市场投研资讯,中科创达：目前在人形机器人方面公司没有计划做本体,"新辉总的发言可信吗。公司的全系列移动机器人产品矩阵，包括潜伏机器人、叉取机器人、复合及具身机器人等核心产品。面向不同的机器人产品, 公司有差异化的产品策略...",https://finance.sina.com.cn/jjxw/2026-09-10/doc-inirihnu8582426.shtml?from=pcsearch,中科创达
2026-09-09 01:28:00,新浪财经·观点地产网,中科创达与楚能汽车签约战略合作 聚焦新能源汽车智能化,观点网讯：9月8日，中科创达与楚能汽车举行战略合作签约仪式。双方将围绕生产承接与制造协同、产品升级与柔性制造、市场拓展与长期协作三大方向展开深度合作...,https://finance.sina.com.cn/stock/estate/integration/2026-09-09/doc-iniresxy8955878.shtml?from=pcsearch,中科创达
2026-09-08 14:36:47,新浪财经·滚动播报,中科创达与楚能汽车达成战略合作，加速新能源智能座舱量产落地,（来源：北京商报）北京商报讯（记者 王天逸）9月8日，中科创达发文称，公司与楚能汽车的战略合作签约仪式顺利举行...,https://finance.sina.com.cn/jjxw/2026-09-08/doc-inircrns9313659.shtml?from=pcsearch,中科创达
2026-09-08 13:40:26,新浪财经·滚动播报,中科创达与楚能汽车达成战略合作,中科创达消息，9月8日，中科创达与楚能汽车举行战略合作签约仪式。双方将围绕生产承接与制造协同、产品升级与柔性制造、市场拓展与长期协作三大方向展开深度合作，以智能座舱OS等核心产品为抓手，共同推进新能源汽车智能技术的更新迭代...,https://finance.sina.com.cn/7x24/2026-09-08/doc-inircrnq5996299.shtml?from=pcsearch,中科创达
2026-09-08 13:39:00,新浪财经·证券时报e公司,中科创达与楚能汽车达成战略合作,人民财讯9月8日电，中科创达消息，9月8日，中科创达与楚能汽车举行战略合作签约仪式。双方将围绕生产承接与制造协同、产品升级与柔性制造、市场拓展与长期协作三大方向展开深度合作，以智能座舱OS等核心产品为抓手，共同推进新能源汽车智能技术的更新迭代...,https://finance.sina.com.cn/jjxw/2026-09-08/doc-inircrnn9223782.shtml?from=pcsearch,中科创达
2026-09-08 10:02:39,新浪财经·滚动消息,中科创达回应,（来源：财闻）有投资者向中科创达（300496.SZ）提问，公司旗下畅行智驾的智能驾驶域控解决方案-RazorDCX Pantanal域控制器，请问目前是否已经合作项目落地量产...,https://k.sina.com.cn/article_5953740931_162dee08306703y0lw.html?from=pcsearch,中科创达
2026-09-08 09:31:00,新浪财经·证券时报网,MLOps概念下跌1.12%，5股主力资金净流出超3000万元,截至9月8日收盘，MLOps概念下跌1.12%，位居概念板块跌幅榜前列，板块内，新炬网络、星环科技、中科创达等跌幅居前，股价上涨的有5只，涨幅居前的有格灵深瞳、万达信息、拓尔思等，...,https://finance.sina.com.cn/stock/relnews/cn/2026-09-08/doc-inirceww4632556.shtml?from=pcsearch,中科创达
2026-09-07 07:20:18,新浪财经·界面新闻,拓维信息、中科创达、中国软件飘红，GPT-6 Astra开启“软件操作员”时代！,9月7日软件板块震荡，截至收盘，软件ETF招商(159899)标的指数跌0.96%，多只成分股逆市飘红。资金逆势涌入，该ETF盘中净流入超1100万元，截至9月4日，年初以来累计净流入超4.6亿元，年内份额扩容96.51%。近期OpenAI发布GPT-6 Astra，AI可渗透场景大幅拓宽，海外软件龙头AI相关收入增长获市场认可，国内AI办公Agent生态成型、AI长剧商业化落地，AI应用板块正进,https://finance.sina.com.cn/jjxw/2026-09-07/doc-iniqyvrz0344922.shtml?from=pcsearch,中科创达
2026-09-02 02:06:38,新浪财经·猎云网,刷新赛道纪录！VAST宣布完成B轮和B+轮融资，合计约30亿,不到半年，VAST累计融资约50亿，刷新3D原生智能领域融资额纪录。多元产业方资本的加注，意味着VAST的技术能力已经跨过了「生产可用」的门槛，正在成为多个行业3D内容生产的默认基础设施...,https://t.cj.sina.com.cn/articles/view/2822771827/a8401473020017f4a?from=pcsearch,中科创达
2026-09-01 08:51:34,新浪财经·中国金融信息网,世界模型成为新风口 三启万物完成约30亿元融资,转自：新华财经新华财经上海9月1日电（记者 王淑娟）资本正在加速涌向世界模型。记者获悉，人工智能企业VAST（三启万物）近日完成B轮和B+轮融资，合计约30亿元...,https://finance.sina.com.cn/jjxw/2026-09-01/doc-iniqihzt8134007.shtml?from=pcsearch,中科创达
