日期,来源,标题,摘要,链接,关键词
2026-09-19 01:00:00,新浪财经·财经头条,新易盛光模块拆解：含“美”量很高,来源：芯世相光模块这个词，如今恐怕连菜市场的大妈都能聊上两句。当然，预算有限，1.6T和800G暂时拆不起，我们选了一款新易盛的400G光模块——至少在国内市场，这还算主流，也更有现实参考意义...,https://finance.sina.com.cn/cj/2026-09-19/doc-inisinhh9907176.shtml?from=pcsearch,新易盛
2026-09-18 10:00:00,新浪财经·市场资讯,光模块卖铲人，砍下45亿订单！,光模块，站上舞台中央。中际旭创、新易盛、光迅科技等头部厂商均展出了1.6T系列产品。随着速率迭代与架构演进，上游核心物料的短缺成为限制产能的关键瓶颈，特别是200GEML光芯片、高端DSP电芯片以及光纤等材料供需缺口巨大...,https://finance.sina.com.cn/roll/2026-09-18/doc-inisfyfa8414601.shtml?from=pcsearch,新易盛
2026-09-18 07:04:00,新浪财经·界面,新易盛、中际旭创联袂大涨,9月18日，光模块板块延续强势。截至14时52分，创业板人工智能ETF招商(159243)标的指数涨2.95%，怒提四连阳。前几大权重股方面，新易盛涨5.25%，中际旭创涨3.41%，江波龙涨3.55%，天孚通信涨2.43%...,https://cj.sina.com.cn/articles/view/6192937794/17120bb4202002uhtk?from=pcsearch,新易盛
2026-09-18 06:00:43,新浪财经·新浪基金,热门赛道爆发，华为打造全球首个“超级算力工厂”！云计算ETF华宝（159099）标的指数涨超3%,9月18日，算力硬件爆发，纯正算力ETF——云计算ETF华宝（159099）标的指数一度涨超3%，现涨2.7%。消息面上，华为近日发布昇腾960超节点，单节点4096卡、8E算力，标志着国产算力基础设施进入系统级创新阶段...,https://finance.sina.com.cn/money/fund/etf/2026-09-18/doc-inisfprf0248000.shtml?from=pcsearch,新易盛
2026-09-17 01:22:13,新浪财经·界面新闻,沪深300指数上涨0.68%，沪深300ETF平安(510390)成分股沪硅产业上涨8.62%,费率方面，沪深300ETF平安管理费率为0.50%，托管费率为0.10%。风险提示：基金有风险，投资需谨慎。基金管理人承诺以诚实信用、勤勉尽责的原则管理和运用基金资产，但不保证本基金一定盈利，也不保证最低收益...,https://finance.sina.com.cn/jjxw/2026-09-17/doc-inisayaf4180578.shtml?from=pcsearch,新易盛
2026-09-16 11:50:00,新浪财经·21世纪经济报道,今日主力净流入前20股，光迅科技吸金超31亿元,9月16日，Wind数据显示，全市场主力资金净流入超1亿元的个股共计299只，同期主力资金净流出超1亿元的个股48只，多方资金明显占优...,https://cj.sina.com.cn/articles/view/1651428902/v626ece2602001jwrc?from=pcsearch,新易盛
2026-09-16 09:23:34,新浪财经·虎嗅APP,谁是下一个“易中天”？,出品 | 妙投APP作者 | 张博 段明珠编辑 | 丁萍头图 | 视觉中国只要炒股，谁人不知“易中天”。AI算力需求井喷，光模块企业成了算力基础设施里的“管道供应商”，三大龙头新易盛、中际旭创、天孚通信，从低点算至最高点分别上涨约11倍、21倍和9倍...,https://t.cj.sina.com.cn/articles/view/2357213493/8c803935020025j9k?from=pcsearch,新易盛
2026-09-16 08:44:50,新浪财经·证券之星官方微博,9月16日新易盛涨6.72%，通信ETF国泰基金重仓该股,证券之星消息，9月16日新易盛（300502）涨6.72%，收盘报423.69元，换手率3.04%，成交量38.15万手，成交额159.06亿元...,https://cj.sina.com.cn/articles/view/1850649324/6e4eaaec02002jihk?from=pcsearch,新易盛
2026-09-16 07:22:00,新浪财经·21世纪经济报道,沪深两市今日成交额1.84万亿元 宁德时代成交额居首,来源：东方财富网9月16日，沪深两市成交额合计1.84万亿元。其中，沪市成交额8711亿元，深市成交额9680亿元。个股方面，宁德时代 成交额居首，为240亿元...,https://cj.sina.com.cn/articles/view/1651428902/626ece2602001jwfo?from=pcsearch,新易盛
2026-09-16 03:45:12,新浪财经·实时速报,国产算力供需失衡加剧，国产高端芯片进入卖方市场,（来源：财闻）              国产算力供给紧俏，高端芯片进入卖方市场，国产芯片与模型协同生态成熟。【消息面上：国产算力供需失衡加剧，国产芯片与模型协同生态成熟】消息方面，国产算力供给紧俏，燧原科技登陆科创板，市值超1700亿，国产GPU“四小龙”齐聚资本市场...,https://k.sina.com.cn/article_5952915720_162d2490806704ubq6.html?from=pcsearch,新易盛
2026-09-15 14:06:45,新浪财经·CCTIME飞象网,新易盛张金双：打破光瓶颈，迎接高速光模块下一个黄金周期,繁荣与隐忧：AI算力浪潮下的市场爆发与供应链博弈生成式人工智能和大模型的快速发展，引发全球的AI基础设施建设浪潮，也直接带动高速光模块的海量需求...,https://t.cj.sina.com.cn/articles/view/1654140974/6298302e02001kqqe?from=pcsearch,新易盛
