日期,来源,标题,摘要,链接,关键词
2026-09-19 12:45:52,新浪财经·第一财经网,AI进化速递丨OpenAI预计到2030年底累计消耗近2800亿美元资金,①三六零与昇腾AI联合打造解决方案，为AI Agent全面提速；②OpenAI预计到2030年底累计消耗近2800亿美元资金；③谷歌Gemini在安全测试中自主入侵三家真实企业；④Anthropic今年年...,https://finance.sina.com.cn/tech/roll/2026-09-19/doc-iniskptw7383202.shtml?from=pcsearch,三六零
2026-09-16 02:27:00,新浪财经·界面,华为发布全球首个3D数据中心架构，借道软件ETF嘉实(159852)掘金计算机软件行业,截至2026年9月16日 10:27，中证软件服务指数下跌0.75%。消息面，华为发布全球首个3D数据中心架构，通过供冷、供电与IT设备分层解耦和立体堆叠，支撑十万卡以上昇腾超节点集群...,https://t.cj.sina.com.cn/articles/view/6192937794/17120bb4202002ue7k?from=pcsearch,三六零
2026-09-15 02:38:47,新浪财经·界面新闻,AI安全继续发酵，美股网络安全概念逆市走强！天融信触及涨停，软件ETF汇添富(159590)标的指数连续第二日飘红,软件ETF汇添富(159590)标的指数热门股多数飘红：天融信涨超7%，盘中一度涨停，星环科技-U涨近6%，启明星辰、鼎捷数智涨近2%，同花顺、指南针微涨；深信服、三六零微跌...,https://finance.sina.com.cn/jjxw/2026-09-15/doc-inirwmwe3744578.shtml?from=pcsearch,三六零
2026-09-15 02:38:00,新浪财经·界面,AI安全继续发酵，美股网络安全概念逆市走强！天融信触及涨停，软件ETF汇添富(159590)标的指数连续第二日飘红,软件ETF汇添富(159590)标的指数热门股多数飘红：天融信涨超7%，盘中一度涨停，星环科技-U涨近6%，启明星辰、鼎捷数智涨近2%，同花顺、指南针微涨；深信服、三六零微跌...,https://t.cj.sina.com.cn/articles/view/6192937794/17120bb4202002ucog?from=pcsearch,三六零
2026-09-15 02:25:08,新浪财经·市场资讯,黄仁勋喊话看好网络安全市场！‌机构：AI安全需求有望逐步进入订单兑现,9月14日，2026年国家网络安全宣传周在济南开幕，主题“智能时代网安护航”，中央网信办等十部门联合举办，论坛聚焦AI赋能网络安全、AI安全治理、开源软件供应链安全、网络安全保险等议题...,https://finance.sina.com.cn/stock/t/2026-09-15/doc-inirwmwe3737331.shtml?from=pcsearch,三六零
2026-09-15 02:09:16,新浪财经·界面新闻,黄仁勋：网络安全有望成为AI的下一个大应用场景！软件ETF标的指数冲击两连涨,9月15日，软件ETF招商（159899）再度高开，标的指数涨超1%，冲击两连涨。权重股深信服涨近4%，三六零、金山办公涨超1%，润和软件、拓维信息纷纷上涨...,https://finance.sina.com.cn/jjxw/2026-09-15/doc-inirwmwe3708296.shtml?from=pcsearch,三六零
2026-09-15 02:09:03,新浪财经·格隆汇,网络安全概念股走强，信息安全ETF上涨,A股市场网络安全概念股走强，中新赛克开盘一字涨停走出4连板，带动信息安全ETF易方达、信息安全ETF嘉实上涨。光通信、存储芯片板块大跌，康宁跌逾13%，Coherent跌超12%，Lumentum跌约10%，Ciena跌超8%，SK海力士、迈威尔科技跌超7%，英特尔、美光科技跌超5%，闪迪、西部数据跌逾4%...,https://finance.sina.com.cn/stock/bxjj/2026-09-15/doc-inirwmwe3708344.shtml?from=pcsearch,三六零
2026-09-15 02:09:00,新浪财经·界面,黄仁勋：网络安全有望成为AI的下一个大应用场景！软件ETF标的指数冲击两连涨,9月15日，软件ETF招商（159899）再度高开，标的指数涨超1%，冲击两连涨。权重股深信服涨近4%，三六零、金山办公涨超1%，润和软件、拓维信息纷纷上涨...,https://t.cj.sina.com.cn/articles/view/6192937794/17120bb4202002uclw?from=pcsearch,三六零
2026-09-15 01:56:17,新浪财经·界面新闻,软件ETF鹏华(560790)、云计算ETF鹏华(159739)标的指数均涨近1%，AI安全问题浮现，网络安全概念大幅高开,早盘网络安全概念继续大幅高开，消息面上，英伟达、Palantir和Booz Allen Hamilton正要求OpenAI、Anthropic提供新的安全保障，并减少或停止使用两家公司最先进的AI模型...,https://finance.sina.com.cn/jjxw/2026-09-15/doc-inirwmvy8748321.shtml?from=pcsearch,三六零
2026-09-15 01:41:35,新浪财经·界面新闻,未来2-3年我国算力需求年均增长近10倍，AI人工智能ETF平安(512930)标的指数开盘上涨,风险提示：基金有风险，投资需谨慎。基金管理人承诺以诚实信用、勤勉尽责的原则管理和运用基金资产，但不保证本基金一定盈利，也不保证最低收益...,https://finance.sina.com.cn/jjxw/2026-09-15/doc-inirwmwh3904916.shtml?from=pcsearch,三六零
