日期,来源,标题,摘要,链接,关键词
2026-09-18 08:37:48,新浪财经·21世纪经济报道,港股芯片股大涨，壁仞科技涨超12%，兆易创新涨超近10%，MINIMAX涨近19%，联想集团涨超9%创新高,截至9月18日港股收盘。恒指收涨0.6%，恒生科技指数涨2.2%。科网股涨多跌少，MINIMAX涨近19%。联想集团涨超9%，创历史新高...,https://cj.sina.com.cn/articles/view/1651428902/626ece2601901jyy8?from=pcsearch,兆易创新
2026-09-18 06:57:45,新浪财经·界面新闻,黄仁勋：英伟达未来一年芯片销量将达今年两倍！芯片ETF汇添富(516920)标的指数大涨近4%！AI算力增长与ROI变现如何测算？,今日，GPU、存储猛攻，芯片板块爆发，芯片ETF汇添富(516920)标的指数强势大涨近4%。消息面上，英伟达CEO黄仁勋表示，AI正为多个行业带来显著益处...,https://finance.sina.com.cn/jjxw/2026-09-18/doc-inisftwx3276751.shtml?from=pcsearch,兆易创新
2026-09-18 06:21:42,新浪财经·财联社APP,主力资金监控：中国巨石净卖出超17亿,【主力资金监控：中国巨石净卖出超17亿】财联社9月18日电，财联社盯盘数据显示，今日主力资金净流入电子、半导体、通信等板块，净流出建筑材料、文化传媒、国防军工等板块，其中电子板块净流入170.88亿元...,https://cj.sina.com.cn/articles/view/2868676035/aafc85c302001xkxy?from=pcsearch,兆易创新
2026-09-18 04:32:00,新浪财经·数据宝,002185，近147万手封单，近33亿元主力资金杀入！十部门联合发布，创新药板块迎重磅利好,9月18日十部门联合发布《医药工业发展“十五五”规划》，提出到2030年生物医药研发应用稳居世界前列，明确规上医药工业营收超3.5万亿、创新药产业年均增速20%以上等10项预期指标。当日早盘三大股指涨超1%，华天科技涨停，获近33亿元主力资金抢筹居A股榜首。机构认为下半年创新药有望成重要成长主线，9月以来多只创新药股涨超10%，近30只概念股获融资客加仓，15只获10家以上机构评级的个股2026、,https://finance.sina.com.cn/stock/relnews/cn/2026-09-18/doc-inisfprf0178160.shtml?from=pcsearch,兆易创新
2026-09-18 04:13:53,新浪财经·21世纪经济报道,A股半导体板块大爆发，兆易创新大涨5%，600亿龙头直线封板,9月18日，A股四大指数集体走高，截至午间收盘，沪指涨1.04%，深成指涨1.52%，创业板指涨2.11%，科创综指涨3.81%...,https://finance.sina.com.cn/wm/2026-09-18/doc-inisfiii0290456.shtml?from=pcsearch,兆易创新
2026-09-18 02:58:41,新浪财经·财联社APP,主力资金监控：华天科技净买入超23亿,【主力资金监控：华天科技净买入超23亿】财联社9月18日电，财联社盯盘数据显示，今日早盘主力资金净流入半导体、电子、计算机等板块，净流出建筑材料、通信、交运设备等板块，其中半导体板块净流入超115亿元...,https://cj.sina.com.cn/articles/view/2868676035/aafc85c302001xkn6?from=pcsearch,兆易创新
2026-09-18 02:29:54,新浪财经·新浪港股,存储概念股早盘普遍上涨 兆易创新及澜起科技均涨逾4%,存储概念股早盘普遍上涨，截至发稿，南方东英SK海力士每日杠杆最多2X产品（07709）上涨6.99%，报42.26港元；兆易创新（03986）上涨3....,https://finance.sina.com.cn/stock/hkstock/marketalerts/2026-09-18/doc-inisfiic3407323.shtml?from=pcsearch,兆易创新
2026-09-17 02:02:03,新浪财经·哔哥哔特商务网,32家MCU半导体企业半年报汇总,作品声明：个人观点、仅供参考半年报季最容易制造一种错觉：利润翻倍、扭亏为盈、收入创新高，几组同比数字摆在一起，半导体器件行业似乎一下子又热了起来...,https://cj.sina.com.cn/articles/view/3471026640/cee3a9d00010195iw?from=pcsearch,兆易创新
2026-09-15 11:46:00,新浪财经·21世纪经济报道,连苹果也得接受涨价！三星存储报价涨超30%，存储板块集体走强,9月15日，A股存储芯片板块再度走强。截至收盘，气派科技上涨15.93%，华海清科上涨8.64%，恒烁股份上涨8.27%，拓荆科技上涨7.99%，华海诚科上涨5.60%，普冉股份上涨3.26%，兆易创新上涨1.75%...,https://cj.sina.com.cn/articles/view/1651428902/626ece2602001jvkq?from=pcsearch,兆易创新
2026-09-15 10:18:21,新浪财经·实时速报,国产大模型推理效率再突破，云知声U2-Flash完成国产算力平台适配，港股硬科技震荡走强,（来源：21世纪经济报道）9月15日，港股硬科技板块早盘震荡走强，港股通信息技术ETF招商（526050）跟踪的港股通信息C指数截至发稿涨超1%...,https://k.sina.com.cn/article_5952915720_162d2490806704u7m6.html?from=pcsearch,兆易创新
2026-09-15 08:39:29,新浪财经·21世纪经济报道,港股半导体拉升，大模型、汽车股下挫，赛力斯盘中跳水8%，机构：港股短期或继续承压,9月15日，港股主要指数集体下跌，恒生指数收跌1%，恒生科技指数跌0.62%。大模型概念股下挫，MINIMAX-W跌超7%，智谱跌超5%...,https://finance.sina.com.cn/stock/marketresearch/2026-09-15/doc-inirxatw3679158.shtml?from=pcsearch,兆易创新
2026-09-15 08:37:21,新浪财经·界面新闻,AI硬件侧反攻，全球算力高景气！芯片ETF汇添富(516920)标的指数收涨近2%！两部门发文推动集成电路全链条攻关,芯片ETF汇添富(516920)标的指数收涨近2%。消息面上，苹果接受三星明年一季度存储报价。政策面上，两部门发文推动集成电路全链条攻关...,https://finance.sina.com.cn/jjxw/2026-09-15/doc-inirxatw3675523.shtml?from=pcsearch,兆易创新
